ID;Verein;Position;Elo;Elo-Stärke;exp_games;Erwartete Spiele (Elo);exp_gd;Erwartete Tordifferenz (Elo)
pl-k00030256;Portugal;FORWARD;1700.2;0.7251;5.302;3.8443;3.99;2.893
pl-k00030669;Deutschland;GOALKEEPER;2032.5;0.927;5.097;4.7248;3.97;3.6801
pl-k00033709;Argentinien;FORWARD;1741.3;0.8511;5.991;5.0988;8.658;7.3686
pl-k00033742;Schottland;GOALKEEPER;1412.1;0.6509;4.12;2.6815;-0.984;-0.6404
pl-k00039245;Deutschland;GOALKEEPER;1832.1;0.8356;5.097;4.259;3.97;3.3173
pl-k00039689;Kroatien;MIDFIELDER;1695.7;0.762;4.93;3.7565;2.779;2.1175
pl-k00039824;Mexiko;GOALKEEPER;;0.0;4.905;0.0;2.864;0.0
pl-k00044089;Belgien;MIDFIELDER;1621.7;0.7359;4.876;3.5881;2.814;2.0707
pl-k00044560;Bosnien-Herzegowina;FORWARD;1472.4;0.7997;3.738;2.9893;-2.61;-2.0872
pl-k00045914;Kolumbien;MIDFIELDER;;0.0;5.21;0.0;3.512;0.0
pl-k00046237;Türkei;GOALKEEPER;1686.0;0.813;4.976;4.0453;2.252;1.8308
pl-k00046495;Uruguay;GOALKEEPER;1727.7;0.8344;4.672;3.8981;1.55;1.2933
pl-k00046508;Neuseeland;DEFENDER;;0.0;3.48;0.0;-3.434;-0.0
pl-k00047058;Österreich;FORWARD;1520.6;0.6968;4.129;2.877;-1.1;-0.7665
pl-k00050622;England;MIDFIELDER;1687.3;0.759;5.687;4.3162;6.383;4.8444
pl-k00054652;Deutschland;MIDFIELDER;1941.4;0.8854;5.097;4.5131;3.97;3.5152
pl-k00055188;DR Kongo;MIDFIELDER;1234.5;0.5955;3.371;2.0076;-4.126;-2.4572
pl-k00056751;Neuseeland;FORWARD;1848.0;1.0;3.48;3.48;-3.434;-3.434
pl-k00056979;Argentinien;DEFENDER;1800.3;0.8799;5.991;5.2716;8.658;7.6183
pl-k00057241;Tunesien;MIDFIELDER;1648.7;0.9288;3.434;3.1897;-3.766;-3.498
pl-k00057343;Schweiz;MIDFIELDER;2012.4;0.9706;5.181;5.0286;4.737;4.5976
pl-k00057598;Österreich;DEFENDER;1859.8;0.8522;4.129;3.5188;-1.1;-0.9374
pl-k00057919;Schweden;GOALKEEPER;1527.6;0.7169;3.796;2.7213;-2.337;-1.6753
pl-k00059041;Kroatien;FORWARD;1794.7;0.8065;4.93;3.9759;2.779;2.2412
pl-k00059307;Kroatien;FORWARD;1880.9;0.8452;4.93;4.1668;2.779;2.3488
pl-k00059384;Belgien;FORWARD;1925.2;0.8736;4.876;4.2596;2.814;2.4583
pl-k00059448;Südkorea;GOALKEEPER;1661.6;0.8651;4.339;3.7537;0.171;0.1479
pl-k00059508;Belgien;GOALKEEPER;2111.7;0.9582;4.876;4.6722;2.814;2.6964
pl-k00059516;Belgien;MIDFIELDER;1943.4;0.8818;4.876;4.2999;2.814;2.4815
pl-k00059524;Türkei;MIDFIELDER;1782.6;0.8595;4.976;4.2771;2.252;1.9357
pl-k00060044;Schweiz;DEFENDER;1854.6;0.8945;5.181;4.6343;4.737;4.2371
pl-k00062748;Senegal;MIDFIELDER;;0.0;4.598;0.0;0.171;0.0
pl-k00063656;Südkorea;FORWARD;1695.4;0.8827;4.339;3.83;0.171;0.1509
pl-k00063799;Österreich;FORWARD;1636.9;0.7501;4.129;3.0971;-1.1;-0.8251
pl-k00063855;Neuseeland;FORWARD;1207.3;0.6533;3.48;2.2735;-3.434;-2.2434
pl-k00063869;Japan;DEFENDER;1409.2;0.7429;4.848;3.6014;1.906;1.4159
pl-k00063918;Brasilien;FORWARD;1643.2;0.7231;5.351;3.8692;5.126;3.7065
pl-k00064027;Schottland;DEFENDER;1704.1;0.7854;4.12;3.236;-0.984;-0.7729
pl-k00064038;Türkei;MIDFIELDER;2073.9;1.0;4.976;4.976;2.252;2.252
pl-k00065748;Kap Verde;DEFENDER;1294.7;0.6592;3.272;2.1571;-5.876;-3.8737
pl-k00065996;Ghana;FORWARD;;0.0;3.144;0.0;-6.374;-0.0
pl-k00066526;Deutschland;DEFENDER;2020.5;0.9215;5.097;4.6969;3.97;3.6584
pl-k00066754;Deutschland;MIDFIELDER;2027.0;0.9245;5.097;4.712;3.97;3.6702
pl-k00067156;USA;DEFENDER;1611.8;0.7672;3.74;2.8694;-2.316;-1.7769
pl-k00067266;Kroatien;MIDFIELDER;1960.7;0.8811;4.93;4.3436;2.779;2.4485
