# Unmatched kicker players: 255
Mexiko | pl-k00039824 | Guillermo Ochoa
Kolumbien | pl-k00045914 | James
Neuseeland | pl-k00046508 | Tommy Smith
Senegal | pl-k00062748 | Idrissa Gueye
Ghana | pl-k00065996 | Jordan Ayew
Kolumbien | pl-k00071862 | Santiago Arias
Elfenbeinküste | pl-k00072663 | Seko Fofana
Mexiko | pl-k00073943 | Raul Jimenez
Marokko | pl-k00074369 | Bono
Argentinien | pl-k00074991 | Emiliano Martinez
Bosnien-Herzegowina | pl-k00075261 | Haris Tabakovic
Ägypten | pl-k00075957 | Ramy Rabia
Uruguay | pl-k00077564 | Guillermo Varela
Curacao | pl-k00078155 | Leandro Bacuna
Niederlande | pl-k00078230 | Virgil van Dijk
Paraguay | pl-k00080522 | Gustavo Gomez
Kolumbien | pl-k00081292 | Jhon Cordoba
Schottland | pl-k00082878 | Andrew Robertson
Ecuador | pl-k00082905 | Enner Valencia
Argentinien | pl-k00083013 | Leandro Paredes
Norwegen | pl-k00083165 | Alexander Sörloth
Iran | pl-k00083239 | Ehsan Haji Safi
Norwegen | pl-k00083613 | Martin Ödegaard
Südafrika | pl-k00083739 | Themba Zwane
Paraguay | pl-k00083783 | Junior Alonso
Schweiz | pl-k00084365 | Nico Elvedi
Türkei | pl-k00087622 | Ugurcan Cakir
Tschechien | pl-k00087974 | Michal Sadilek
Paraguay | pl-k00088866 | Fabian Balbuena
Curacao | pl-k00088946 | Gervane Kastaneer
Japan | pl-k00089060 | Shogo Taniguchi
Frankreich | pl-k00089444 | Marcus Thuram
Kap Verde | pl-k00089452 | Laros Duarte
Niederlande | pl-k00089457 | Frenkie de Jong
Curacao | pl-k00090003 | Juninho Bacuna
Marokko | pl-k00090018 | Sofyan Amrabat
Türkei | pl-k00090353 | Abdülkerim Bardakci
Kolumbien | pl-k00090525 | Jefferson Lerma
Japan | pl-k00090788 | Wataru Endo
Argentinien | pl-k00090996 | Exequiel Palacios
Mexiko | pl-k00091000 | German Berterame
Frankreich | pl-k00091137 | Ousmane Dembelé
Panama | pl-k00094325 | Ismael Diaz
Kolumbien | pl-k00094622 | Yerry Mina
Schweden | pl-k00095547 | Gustaf Nilsson
Argentinien | pl-k00095657 | Giovani Lo Celso
