ID;Verein;Position;Elo;EAR-180;Elo-Rang;Elo-ID;Elo-Name
pl-k00030256;Portugal;FORWARD;1700.2;0.93;1625;874;Cristiano Ronaldo
pl-k00030669;Deutschland;GOALKEEPER;2032.5;0.72;182;497;M. Neuer
pl-k00033709;Argentinien;FORWARD;1741.3;2.88;1331;154;L. Messi
pl-k00033742;Schottland;GOALKEEPER;1412.1;0.24;4312;1106;C. Gordon
pl-k00039245;Deutschland;GOALKEEPER;1832.1;0.48;832;702;O. Baumann
pl-k00039689;Kroatien;MIDFIELDER;1695.7;4.3;1664;754;L. Modrić
pl-k00039824;Mexiko;GOALKEEPER;1331.1;-0.96;5122;2098;G. Ochoa
pl-k00044089;Belgien;MIDFIELDER;1621.7;2.34;2273;20;A. Witsel
pl-k00044560;Bosnien-Herzegowina;FORWARD;1472.4;0.72;3713;790;E. Džeko
pl-k00045914;Kolumbien;MIDFIELDER;1425.5;0.48;4179;517;J. Rodríguez
pl-k00046237;Türkei;GOALKEEPER;1686.0;-0.48;1731;49837;M. Günok
pl-k00046495;Uruguay;GOALKEEPER;1727.7;0.72;1422;429;F. Muslera
pl-k00046508;Neuseeland;DEFENDER;1308.2;0.0;5350;51307;T. Smith
pl-k00047058;Österreich;FORWARD;1520.6;-0.72;3234;18830;M. Arnautović
pl-k00050622;England;MIDFIELDER;1687.3;-0.73;1720;292;J. Henderson
pl-k00054652;Deutschland;MIDFIELDER;1941.4;2.61;397;18970;P. Groß
pl-k00055188;DR Kongo;MIDFIELDER;1234.5;-0.73;6086;47545;G. Kakuta
pl-k00056751;Neuseeland;FORWARD;1848.0;-0.72;746;18931;C. Wood
pl-k00056979;Argentinien;DEFENDER;1800.3;4.29;976;624;N. Otamendi
pl-k00057241;Tunesien;MIDFIELDER;1648.7;-3.36;2030;25300;R. Khedira
pl-k00057343;Schweiz;MIDFIELDER;2012.4;3.33;229;1464;G. Xhaka
pl-k00057598;Österreich;DEFENDER;1859.8;0.46;685;505;D. Alaba
pl-k00057919;Schweden;GOALKEEPER;1527.6;0.96;3167;2851;K. Nordfeldt
pl-k00059041;Kroatien;FORWARD;1794.7;1.63;1011;726;A. Kramarić
pl-k00059307;Kroatien;FORWARD;1880.9;2.84;611;207;I. Perišić
pl-k00059384;Belgien;FORWARD;1925.2;0.0;443;907;R. Lukaku
pl-k00059448;Südkorea;GOALKEEPER;1661.6;-1.68;1929;2892;Kim Seung-Gyu
pl-k00059508;Belgien;GOALKEEPER;2111.7;1.68;70;730;T. Courtois
pl-k00059516;Belgien;MIDFIELDER;1943.4;-0.01;394;629;K. De Bruyne
pl-k00059524;Türkei;MIDFIELDER;1782.6;0.24;1078;25448;K. Ayhan
pl-k00060044;Schweiz;DEFENDER;1854.6;-0.5;713;1631;R. Rodríguez
pl-k00062748;Senegal;MIDFIELDER;1800.2;2.83;977;2990;I. Gueye
pl-k00063656;Südkorea;FORWARD;1695.4;0.47;1667;186;Son Heung-Min
