ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030256;Cristiano Ronaldo;Dos Santos Aveiro;Cristiano Ronaldo;Cristiano Ronaldo;Portugal;FORWARD;8000000;18;3.63
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Deutschland;GOALKEEPER;8000000;2;4.33
pl-k00033709;Lionel;Messi;Messi;Lionel Messi;Argentinien;FORWARD;8000000;112;1.79
pl-k00033742;Craig;Gordon;Gordon;Craig Gordon;Schottland;GOALKEEPER;4000000;0;0.0
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;Deutschland;GOALKEEPER;4000000;0;0.0
pl-k00039689;Luka;Modric;Modric;Luka Modric;Kroatien;MIDFIELDER;6000000;34;3.29
pl-k00039824;Guillermo;Ochoa;Ochoa;Guillermo Ochoa;Mexiko;GOALKEEPER;1000000;25;2.83
pl-k00044089;Axel;Witsel;Witsel;Axel Witsel;Belgien;MIDFIELDER;4000000;6;4.0
pl-k00044560;Edin;Dzeko;Dzeko;Edin Dzeko;Bosnien-Herzegowina;FORWARD;4000000;0;0.0
pl-k00045914;James;Rodriguez;James;James;Kolumbien;MIDFIELDER;4000000;0;0.0
pl-k00046237;Mert;Günok;Günok;Mert Günok;Türkei;GOALKEEPER;1000000;0;0.0
pl-k00046495;Fernando;Muslera;Muslera;Fernando Muslera;Uruguay;GOALKEEPER;4000000;0;0.0
pl-k00046508;Tommy;Smith;Smith;Tommy Smith;Neuseeland;DEFENDER;1000000;0;0.0
pl-k00047058;Marko;Arnautovic;Arnautovic;Marko Arnautovic;Österreich;FORWARD;4000000;0;0.0
pl-k00050622;Jordan;Henderson;J. Henderson;Jordan Henderson;England;MIDFIELDER;4000000;26;2.83
pl-k00054652;Pascal;Groß;P. Groß;Pascal Groß;Deutschland;MIDFIELDER;4000000;0;0.0
pl-k00055188;Gael;Kakuta;Kakuta;Gael Kakuta;DR Kongo;MIDFIELDER;1000000;0;0.0
pl-k00056751;Chris;Wood;Wood;Chris Wood;Neuseeland;FORWARD;4000000;0;0.0
pl-k00056979;Nicolas;Otamendi;Otamendi;Nicolas Otamendi;Argentinien;DEFENDER;4000000;39;3.14
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;Tunesien;MIDFIELDER;4000000;0;0.0
pl-k00057343;Granit;Xhaka;G. Xhaka;Granit Xhaka;Schweiz;MIDFIELDER;6000000;20;3.25
pl-k00057598;David;Alaba;Alaba;David Alaba;Österreich;DEFENDER;6000000;0;0.0
pl-k00057919;Kristoffer;Nordfeldt;Nordfeldt;Kristoffer Nordfeldt;Schweden;GOALKEEPER;4000000;0;0.0
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;Kroatien;FORWARD;6000000;19;4.14
pl-k00059307;Ivan;Perisic;Perisic;Ivan Perisic;Kroatien;FORWARD;6000000;34;3.5
pl-k00059384;Romelu;Lukaku;R. Lukaku;Romelu Lukaku;Belgien;FORWARD;6000000;0;4.5
pl-k00059448;Seung-Gyu;Kim;S.-G. Kim;Seung-Gyu Kim;Südkorea;GOALKEEPER;2000000;26;3.0
pl-k00059508;Thibaut;Courtois;Courtois;Thibaut Courtois;Belgien;GOALKEEPER;8000000;25;3.0
pl-k00059516;Kevin;De Bruyne;De Bruyne;Kevin De Bruyne;Belgien;MIDFIELDER;6000000;8;3.83
pl-k00059524;Kaan;Ayhan;Ayhan;Kaan Ayhan;Türkei;MIDFIELDER;2000000;0;0.0
pl-k00060044;Ricardo;Rodriguez;R. Rodriguez;Ricardo Rodriguez;Schweiz;DEFENDER;4000000;16;3.5
pl-k00062748;Idrissa;Gueye;I. Gueye;Idrissa Gueye;Senegal;MIDFIELDER;2000000;18;3.0
pl-k00063656;Heung-Min;Son;Son;Heung-Min Son;Südkorea;FORWARD;6000000;22;3.38
pl-k00063799;Michael;Gregoritsch;Gregoritsch;Michael Gregoritsch;Österreich;FORWARD;4000000;0;0.0
pl-k00063855;Kosta;Barbarouses;Barbarouses;Kosta Barbarouses;Neuseeland;FORWARD;1000000;0;0.0
pl-k00063869;Yuto;Nagatomo;Nagatomo;Yuto Nagatomo;Japan;DEFENDER;1000000;6;4.13
pl-k00063918;Neymar;da Silva Santos Junior;Neymar;Neymar;Brasilien;FORWARD;6000000;34;2.17
pl-k00064027;Grant;Hanley;Hanley;Grant Hanley;Schottland;DEFENDER;2000000;0;0.0
pl-k00064038;Hakan;Calhanoglu;Calhanoglu;Hakan Calhanoglu;Türkei;MIDFIELDER;6000000;0;0.0
pl-k00065748;Ianique;dos Santos Tavares;Stopira;Stopira;Kap Verde;DEFENDER;2000000;0;0.0
pl-k00065996;Jordan;Ayew;J. Ayew;Jordan Ayew;Ghana;FORWARD;4000000;5;4.25
pl-k00066526;Antonio;Rüdiger;Rüdiger;Antonio Rüdiger;Deutschland;DEFENDER;4000000;10;3.67
pl-k00066754;Leon;Goretzka;Goretzka;Leon Goretzka;Deutschland;MIDFIELDER;6000000;2;4.5
pl-k00067156;Tim;Ream;Ream;Tim Ream;USA;DEFENDER;2000000;18;3.38
pl-k00067266;Mateo;Kovacic;Kovacic;Mateo Kovacic;Kroatien;MIDFIELDER;4000000;38;3.14
pl-k00067749;Lucas;Digne;Digne;Lucas Digne;Frankreich;DEFENDER;4000000;0;0.0
pl-k00068111;Mathew;Leckie;Leckie;Mathew Leckie;Australien;MIDFIELDER;1000000;19;3.75
pl-k00068757;David;Ospina;Ospina;David Ospina;Kolumbien;GOALKEEPER;1000000;0;0.0
pl-k00069274;Roberto;Fernandez;Gatito Fernandez;Roberto Fernandez;Paraguay;GOALKEEPER;2000000;0;0.0
pl-k00069568;Cedric;Bakambu;Bakambu;Cedric Bakambu;DR Kongo;FORWARD;4000000;0;0.0
pl-k00069797;Dan;Burn;Burn;Dan Burn;England;DEFENDER;4000000;0;0.0
pl-k00070267;Alex Sandro;Lobo Silva;Alex Sandro;Alex Sandro;Brasilien;DEFENDER;4000000;14;3.0
pl-k00070270;Danilo Luiz;da Silva;Danilo;Danilo;Brasilien;DEFENDER;4000000;10;3.67
pl-k00070281;Vladimir;Darida;Darida;Vladimir Darida;Tschechien;MIDFIELDER;1000000;0;0.0
pl-k00070495;Thomas;Meunier;Meunier;Thomas Meunier;Belgien;DEFENDER;2000000;4;4.0
pl-k00070592;Jonathan;Tah;Tah;Jonathan Tah;Deutschland;DEFENDER;8000000;0;0.0
pl-k00070605;Harry;Kane;Kane;Harry Kane;England;FORWARD;10000000;39;3.0
