Verein;team_en;Team-Elo;GK_top1;DEF_top4;MID_top5;FWD_top3;n_matched
Spanien;Spain;2155.3;2315.5;2065.3;2196.2;2138.8;25
England;England;2105.3;2028.9;2069.0;2039.0;2209.9;22
Portugal;Portugal;2094.0;2277.4;2166.5;2020.8;2052.5;25
Frankreich;France;2076.4;1969.9;2201.9;1963.8;2113.5;22
Norwegen;Norway;2045.0;1860.8;1918.0;1928.2;2288.6;19
Deutschland;Germany;2027.9;2032.5;2089.0;2052.0;1962.3;25
Brasilien;Brazil;2024.9;2047.8;1975.7;1897.7;2162.4;26
Niederlande;Netherlands;2008.6;2144.3;2064.2;1969.4;1963.8;19
Belgien;Belgium;2000.9;2111.7;1926.6;1967.4;2051.0;26
Kroatien;Croatia;1895.7;2081.4;2009.2;1830.0;1818.0;23
Schweiz;Switzerland;1877.2;2011.4;1845.8;1855.7;1879.7;25
Schweden;Sweden;1873.3;1693.5;1972.2;1729.3;1977.4;21
Mexiko;Mexico;1867.0;1815.5;1811.2;1835.8;1948.3;15
Marokko;Morocco;1859.1;1504.2;1986.5;1862.1;1866.9;19
USA;USA;1858.6;1791.4;1907.8;1902.6;1804.9;22
Elfenbeinküste;Ivory Coast;1823.7;1721.4;1926.7;1731.1;1858.7;21
Algerien;Algeria;1823.3;1632.4;1882.2;1830.8;1829.3;34
Schottland;Scotland;1812.1;1693.9;1825.7;1952.8;1715.7;24
Senegal;Senegal;1811.9;2035.5;1866.8;1773.8;1741.6;15
Uruguay;Uruguay;1806.8;1823.8;1829.8;1933.6;1676.9;17
Österreich;Austria;1782.1;1571.3;1919.6;1969.1;1583.8;25
Kanada;Canada;1760.3;1789.3;1844.7;1777.1;1677.3;22
Türkei;Turkey;1748.8;1795.2;1932.6;1707.5;1639.6;28
Tschechien;Czechia;1744.7;1799.4;1774.0;1710.9;1737.3;27
Saudi-Arabien;Saudi Arabia;1744.3;1888.1;1948.9;1887.4;1434.5;29
Argentinien;Argentina;1734.2;1975.1;1864.0;1666.0;1631.2;14
DR Kongo;Congo DR;1729.5;1505.0;1806.0;1724.4;1743.4;26
Ghana;Ghana;1728.3;1663.6;1700.0;1586.0;1889.0;21
Ecuador;Ecuador;1724.5;1619.4;1953.9;1548.4;1741.7;18
Japan;Japan;1707.9;1825.8;1649.0;1755.3;1675.6;14
Südkorea;South Korea;1653.4;1661.6;1481.5;1715.5;1720.8;24
Panama;Panama;1644.5;1656.6;1757.9;1677.1;1532.1;24
Australien;Australia;1640.2;1906.3;1760.8;1653.3;1466.7;30
Paraguay;Paraguay;1636.1;1642.0;1509.9;1728.0;1645.9;19
Bosnien-Herzegowina;Bosnia-Herzegovina;1614.9;1617.2;1740.8;1596.8;1539.7;23
Katar;Qatar;1610.5;1721.3;1601.4;1544.6;1641.9;25
Neuseeland;New Zealand;1577.8;1737.8;1563.4;1551.6;1564.7;23
Iran;Iran;1577.7;1665.6;1431.0;1571.1;1663.1;24
Kap Verde;Cape Verde;1562.3;1832.2;1700.4;1411.4;1516.0;23
Tunesien;Tunisia;1552.9;1235.9;1552.6;1630.4;1577.3;21
Ägypten;Egypt;1543.7;1486.3;1383.1;1619.1;1610.2;23
Kolumbien;Colombia;1542.7;1732.8;1842.0;1512.5;1300.5;13
Usbekistan;Uzbekistan;1509.5;1484.9;1597.8;1404.1;1543.9;22
Curacao;Curacao;1507.5;1505.0;1630.6;1355.7;1550.5;22
Südafrika;South Africa;1494.1;1535.2;1528.0;1479.2;1470.7;20
Haiti;Haiti;1456.5;1217.1;1629.6;1309.7;1527.2;21
Irak;Iraq;1378.8;1475.1;1431.2;1431.0;1269.0;25
Jordanien;Jordan;1324.7;909.5;1416.0;1386.4;1325.3;21
