ID;Verein;Position;Marktwert TM;TM-Stärke;exp_games;Erwartete Spiele (TM);exp_gd;Erwartete Tordifferenz (TM)
pl-k00030256;Portugal;FORWARD;15000000;0.1364;5.302;0.723;3.99;0.5441
pl-k00030669;Deutschland;GOALKEEPER;4000000;0.0308;5.097;0.1568;3.97;0.1222
pl-k00033709;Argentinien;FORWARD;35000000;0.35;5.991;2.0968;8.658;3.0303
pl-k00033742;Schottland;GOALKEEPER;50000;0.0011;4.12;0.0046;-0.984;-0.0011
pl-k00039245;Deutschland;GOALKEEPER;3000000;0.0231;5.097;0.1176;3.97;0.0916
pl-k00039689;Kroatien;MIDFIELDER;4000000;0.0571;4.93;0.2817;2.779;0.1588
pl-k00039824;Mexiko;GOALKEEPER;1000000;0.025;4.905;0.1226;2.864;0.0716
pl-k00044089;Belgien;MIDFIELDER;1400000;0.0215;4.876;0.105;2.814;0.0606
pl-k00044560;Bosnien-Herzegowina;FORWARD;2700000;0.1227;3.738;0.4588;-2.61;-0.3203
pl-k00045914;Kolumbien;MIDFIELDER;6000000;0.0857;5.21;0.4466;3.512;0.301
pl-k00046237;Türkei;GOALKEEPER;500000;0.0111;4.976;0.0553;2.252;0.025
pl-k00046495;Uruguay;GOALKEEPER;750000;0.0062;4.672;0.0292;1.55;0.0097
pl-k00046508;Neuseeland;DEFENDER;;0.0;3.48;0.0;-3.434;-0.0
pl-k00047058;Österreich;FORWARD;2500000;0.0781;4.129;0.3226;-1.1;-0.0859
pl-k00050622;England;MIDFIELDER;2000000;0.0125;5.687;0.0711;6.383;0.0798
pl-k00054652;Deutschland;MIDFIELDER;3500000;0.0269;5.097;0.1372;3.97;0.1069
pl-k00055188;DR Kongo;MIDFIELDER;1800000;0.0643;3.371;0.2167;-4.126;-0.2652
pl-k00056751;Neuseeland;FORWARD;8000000;1.0;3.48;3.48;-3.434;-3.434
pl-k00056979;Argentinien;DEFENDER;1000000;0.01;5.991;0.0599;8.658;0.0866
pl-k00057241;Tunesien;MIDFIELDER;2000000;0.2222;3.434;0.7631;-3.766;-0.8369
pl-k00057343;Schweiz;MIDFIELDER;10000000;0.25;5.181;1.2952;4.737;1.1842
pl-k00057598;Österreich;DEFENDER;20000000;0.625;4.129;2.5806;-1.1;-0.6875
pl-k00057919;Schweden;GOALKEEPER;300000;0.0025;3.796;0.0095;-2.337;-0.0058
pl-k00059041;Kroatien;FORWARD;3000000;0.0429;4.93;0.2113;2.779;0.1191
pl-k00059307;Kroatien;FORWARD;1300000;0.0186;4.93;0.0916;2.779;0.0516
pl-k00059384;Belgien;FORWARD;15000000;0.2308;4.876;1.1252;2.814;0.6494
pl-k00059448;Südkorea;GOALKEEPER;;0.0;4.339;0.0;0.171;0.0
pl-k00059508;Belgien;GOALKEEPER;28000000;0.4308;4.876;2.1004;2.814;1.2122
pl-k00059516;Belgien;MIDFIELDER;15000000;0.2308;4.876;1.1252;2.814;0.6494
pl-k00059524;Türkei;MIDFIELDER;4700000;0.1044;4.976;0.5197;2.252;0.2352
pl-k00060044;Schweiz;DEFENDER;3500000;0.0875;5.181;0.4533;4.737;0.4145
pl-k00062748;Senegal;MIDFIELDER;1000000;0.0222;4.598;0.1022;0.171;0.0038
pl-k00063656;Südkorea;FORWARD;17000000;0.68;4.339;2.9505;0.171;0.1163
pl-k00063799;Österreich;FORWARD;1500000;0.0469;4.129;0.1935;-1.1;-0.0516
pl-k00063855;Neuseeland;FORWARD;500000;0.0625;3.48;0.2175;-3.434;-0.2146
pl-k00063869;Japan;DEFENDER;300000;0.01;4.848;0.0485;1.906;0.0191
pl-k00063918;Brasilien;FORWARD;50000000;0.2778;5.351;1.4864;5.126;1.4239
pl-k00064027;Schottland;DEFENDER;1500000;0.0333;4.12;0.1373;-0.984;-0.0328
pl-k00064038;Türkei;MIDFIELDER;22000000;0.4889;4.976;2.4327;2.252;1.101
pl-k00065748;Kap Verde;DEFENDER;;0.0;3.272;0.0;-5.876;-0.0
pl-k00065996;Ghana;FORWARD;1800000;0.0277;3.144;0.0871;-6.374;-0.1765
pl-k00066526;Deutschland;DEFENDER;25000000;0.1923;5.097;0.9802;3.97;0.7635
pl-k00066754;Deutschland;MIDFIELDER;15000000;0.1154;5.097;0.5881;3.97;0.4581
pl-k00067156;USA;DEFENDER;800000;0.0133;3.74;0.0499;-2.316;-0.0309
pl-k00067266;Kroatien;MIDFIELDER;15000000;0.2143;4.93;1.0564;2.779;0.5955
pl-k00067749;Frankreich;DEFENDER;8000000;0.0444;6.141;0.2729;7.58;0.3369
pl-k00068111;Australien;MIDFIELDER;700000;0.1167;4.066;0.4744;-0.993;-0.1158
pl-k00068757;Kolumbien;GOALKEEPER;3000000;0.0429;5.21;0.2233;3.512;0.1505
pl-k00069274;Paraguay;GOALKEEPER;;0.0;4.452;0.0;0.178;0.0
pl-k00069568;DR Kongo;FORWARD;1400000;0.05;3.371;0.1686;-4.126;-0.2063
pl-k00069797;England;DEFENDER;5000000;0.0312;5.687;0.1777;6.383;0.1995
pl-k00070267;Brasilien;DEFENDER;2000000;0.0111;5.351;0.0595;5.126;0.057
pl-k00070270;Brasilien;DEFENDER;2500000;0.0139;5.351;0.0743;5.126;0.0712
pl-k00070281;Tschechien;MIDFIELDER;400000;0.016;4.198;0.0672;-0.433;-0.0069
pl-k00070495;Belgien;DEFENDER;1800000;0.0277;4.876;0.135;2.814;0.0779
pl-k00070592;Deutschland;DEFENDER;30000000;0.2308;5.097;1.1762;3.97;0.9162
pl-k00070605;England;FORWARD;65000000;0.4062;5.687;2.3103;6.383;2.5931
pl-k00070654;Brasilien;MIDFIELDER;8000000;0.0444;5.351;0.2378;5.126;0.2278
pl-k00070756;Bosnien-Herzegowina;DEFENDER;10000000;0.4545;3.738;1.6991;-2.61;-1.1864
pl-k00070960;Curacao;FORWARD;;0.0;3.121;0.0;-6.73;-0.0
pl-k00071150;Deutschland;DEFENDER;40000000;0.3077;5.097;1.5683;3.97;1.2215
pl-k00071862;Kolumbien;DEFENDER;2500000;0.0357;5.21;0.1861;3.512;0.1254
pl-k00071888;Niederlande;FORWARD;10000000;0.1111;5.268;0.5853;3.773;0.4192
pl-k00072478;Niederlande;GOALKEEPER;8000000;0.0889;5.268;0.4683;3.773;0.3354
pl-k00072654;Frankreich;GOALKEEPER;38000000;0.2111;6.141;1.2964;7.58;1.6002
pl-k00072663;Elfenbeinküste;MIDFIELDER;8000000;0.16;3.89;0.6224;-2.143;-0.3429
pl-k00072712;Curacao;DEFENDER;2800000;0.6222;3.121;1.942;-6.73;-4.1876
pl-k00072716;Niederlande;DEFENDER;18000000;0.2;5.268;1.0536;3.773;0.7546
pl-k00072755;Deutschland;GOALKEEPER;12000000;0.0923;5.097;0.4705;3.97;0.3665
pl-k00073097;Australien;DEFENDER;;0.0;4.066;0.0;-0.993;-0.0
pl-k00073206;Österreich;MIDFIELDER;7000000;0.2188;4.129;0.9032;-1.1;-0.2406
pl-k00073311;Österreich;MIDFIELDER;1800000;0.0562;4.129;0.2323;-1.1;-0.0619
pl-k00073393;Ghana;DEFENDER;2000000;0.0308;3.144;0.0967;-6.374;-0.1961
pl-k00073842;Kap Verde;DEFENDER;;0.0;3.272;0.0;-5.876;-0.0
pl-k00073943;Mexiko;FORWARD;4000000;0.1;4.905;0.4905;2.864;0.2864
pl-k00074093;Ägypten;MIDFIELDER;30000000;0.4615;3.951;1.8235;-1.446;-0.6674
