ID;Marktwert TM;TM-ID;TM-Name;Verein
pl-k00030256;15000000.0;8198;Cristiano Ronaldo;Portugal
pl-k00030669;4000000.0;17259;Manuel Neuer;Deutschland
pl-k00033709;35000000.0;28003;Lionel Messi;Argentinien
pl-k00033742;50000.0;12589;Craig Gordon;Schottland
pl-k00039245;3000000.0;55089;Oliver Baumann;Deutschland
pl-k00039689;4000000.0;27992;Luka Modrić;Kroatien
pl-k00039824;1000000.0;29559;Guillermo Ochoa;Mexiko
pl-k00044089;1400000.0;35047;Axel Witsel;Belgien
pl-k00044560;2700000.0;28396;Edin Dzeko;Bosnien-Herzegowina
pl-k00045914;6000000.0;88103;James Rodríguez;Kolumbien
pl-k00046237;500000.0;51894;Mert Günok;Türkei
pl-k00046495;750000.0;58088;Fernando Muslera;Uruguay
pl-k00046508;;54381;Tommy Smith;Neuseeland
pl-k00047058;2500000.0;41384;Marko Arnautovic;Österreich
pl-k00050622;2000000.0;61651;Jordan Henderson;England
pl-k00054652;3500000.0;82873;Pascal Groß;Deutschland
pl-k00055188;1800000.0;74297;Gaël Kakuta;DR Kongo
pl-k00056751;8000000.0;108725;Chris Wood;Neuseeland
pl-k00056979;1000000.0;54781;Nicolás Otamendi;Argentinien
pl-k00057241;2000000.0;124410;Rani Khedira;Tunesien
pl-k00057343;10000000.0;111455;Granit Xhaka;Schweiz
pl-k00057598;20000000.0;59016;David Alaba;Österreich
pl-k00057919;300000.0;75890;Kristoffer Nordfeldt;Schweden
pl-k00059041;3000000.0;46580;Andrej Kramaric;Kroatien
pl-k00059307;1300000.0;42460;Ivan Perišić;Kroatien
pl-k00059384;15000000.0;96341;Romelu Lukaku;Belgien
pl-k00059448;;92076;Seung-gyu Kim;Südkorea
pl-k00059508;28000000.0;108390;Thibaut Courtois;Belgien
pl-k00059516;15000000.0;88755;Kevin De Bruyne;Belgien
pl-k00059524;4700000.0;119031;Kaan Ayhan;Türkei
pl-k00060044;3500000.0;86784;Ricardo Rodríguez;Schweiz
pl-k00062748;1000000.0;126665;Idrissa Gueye;Senegal
pl-k00063656;17000000.0;91845;Heung-min Son;Südkorea
pl-k00063799;1500000.0;120205;Michael Gregoritsch;Österreich
pl-k00063855;500000.0;50200;Kosta Barbarouses;Neuseeland
pl-k00063869;300000.0;79522;Yuto Nagatomo;Japan
pl-k00063918;50000000.0;68290;Neymar;Brasilien
pl-k00064027;1500000.0;121385;Grant Hanley;Schottland
pl-k00064038;22000000.0;126414;Hakan Çalhanoğlu;Türkei
pl-k00065996;1800000.0;108354;Jordan Ayew;Ghana
pl-k00066526;25000000.0;86202;Antonio Rüdiger;Deutschland
pl-k00066754;15000000.0;153084;Leon Goretzka;Deutschland
pl-k00067156;800000.0;145466;Tim Ream;USA
pl-k00067266;15000000.0;51471;Mateo Kovacic;Kroatien
pl-k00067749;8000000.0;126664;Lucas Digne;Frankreich
pl-k00068111;700000.0;126214;Mathew Leckie;Australien
pl-k00068757;3000000.0;73396;David Ospina;Kolumbien
pl-k00069274;;107318;Roberto Fernández;Paraguay
pl-k00069568;1400000.0;127048;Cédric Bakambu;DR Kongo
pl-k00069797;5000000.0;134270;Dan Burn;England
pl-k00070267;2000000.0;79960;Alex Sandro;Brasilien
pl-k00070270;2500000.0;145707;Danilo;Brasilien
pl-k00070281;400000.0;179643;Vladimír Darida;Tschechien
pl-k00070495;1800000.0;100986;Thomas Meunier;Belgien
pl-k00070592;30000000.0;196357;Jonathan Tah;Deutschland
pl-k00070605;65000000.0;132098;Harry Kane;England
